#,Post Date,Type,Task Name,Employee,Priority,Caption,Hashtags
1,5 Jun,Reel,Client B brand reveal reel,,high,Introducing the future of [niche]! 🚀,#ClientB #BrandLaunch #Reel
2,6 Jun,Carousel,5 reasons to choose Client B,,medium,Swipe to see why thousands trust us.,#ClientB #WhyUs #Carousel
3,7 Jun,Static Post,Weekend offer announcement,,medium,Special weekend deal — don't miss out!,#ClientB #Weekend #Offer
4,8 Jun,Story,Poll — which product do you like?,, medium,Your vote matters! Pick your favourite.,#ClientB #Poll #Story
5,9 Jun,Reel,Behind the scenes at Client B,,medium,A peek into how we create magic every day.,#BTS #ClientB #Reel
6,10 Jun,Carousel,Step-by-step guide carousel,,high,Follow these steps to get the best results.,#HowTo #ClientB #Guide
7,11 Jun,Static Post,Team spotlight — meet the founders,,low,The faces behind Client B. We're real people!,#Team #ClientB #Founders
8,12 Jun,Reel,Customer success story reel,,high,Hear how Client B changed our customer's life.,#Testimonial #ClientB #Success
9,13 Jun,Carousel,Top 7 FAQs answered,,medium,Got questions? We've got answers. Swipe →,#FAQ #ClientB #Carousel
10,14 Jun,Static Post,Weekend motivation quote,,low,Dream big. Work hard. Stay consistent.,#Motivation #ClientB #Quote
11,16 Jun,Reel,Product demo — how it works,,high,Watch Client B in action in under 60 seconds.,#Demo #ClientB #ProductReel
12,17 Jun,Carousel,Before & after results carousel,,high,Real results from real people. Swipe to see.,#Results #ClientB #BeforeAfter
13,18 Jun,Static Post,Collaboration announcement post,,medium,Excited to announce our new partnership!,#Collab #ClientB #Partnership
14,19 Jun,Story,Story series — Day 1 of 3,,low,Follow along this week for our behind-the-scenes journey.,#ClientB #Story #Series
15,20 Jun,Reel,Trending audio challenge reel,,medium,We jumped on the trend — what do you think?,#Trending #ClientB #Challenge
16,21 Jun,Carousel,Industry insights June edition,,medium,What's changing in the industry this month?,#Industry #ClientB #Insights
17,23 Jun,Static Post,Mid-week motivation post,,low,Halfway through the week — keep going!,#MidWeek #ClientB #Motivation
18,24 Jun,Reel,Explainer reel — our process,,high,From idea to delivery in 4 simple steps.,#HowWeWork #ClientB #Explainer
19,25 Jun,Carousel,Client testimonials — June edition,,medium,Don't take our word for it. Read what they say.,#Reviews #ClientB #Testimonials
20,26 Jun,Static Post,End of week celebration post,,low,Another great week done. Thank you for the support!,#FridayVibes #ClientB #Grateful
21,27 Jun,Reel,New feature / product launch reel,,high,Big news dropping now — watch till the end!,#Launch #ClientB #NewFeature
22,28 Jun,Carousel,Month in review — June recap,,medium,Here's everything that happened this June.,#JuneRecap #ClientB #Monthly
23,30 Jun,Static Post,July preview teaser post,,medium,Something exciting is coming in July. Stay tuned.,#ComingSoon #ClientB #JulyPreview
