#,Post Date,Type,Task Name,Employee,Priority,Caption,Hashtags,Deadline
1,4 Jun,Reel,Brand intro hook reel,,high,,,10:00
2,5 Jun,Carousel,Top 5 tips for success carousel,,medium,,,09:00
3,6 Jun,Static Post,Motivational Friday quote,,low,,,09:00
4,7 Jun,Reel,Behind the scenes weekend reel,,medium,,,11:00
5,8 Jun,Static Post,Sunday product spotlight,,medium,,,10:00
6,9 Jun,Carousel,Week in review carousel,,medium,,,09:00
7,10 Jun,Reel,Step-by-step tutorial reel,,high,,,10:00
8,11 Jun,Static Post,Brand origin throwback post,,low,,,09:00
9,12 Jun,Carousel,Frequently asked questions carousel,,medium,,,10:00
10,13 Jun,Reel,Customer success story reel,,high,,,10:00
11,14 Jun,Static Post,Weekend fun fact post,,low,,,10:00
12,15 Jun,Carousel,Industry trends carousel,,medium,,,09:00
13,16 Jun,Reel,Product demo reel,,high,,,10:00
14,17 Jun,Static Post,Quote of the week,,low,,,09:00
15,18 Jun,Carousel,Best practices carousel,,medium,,,10:00
16,19 Jun,Reel,Fun trending challenge reel,,medium,,,11:00
17,20 Jun,Static Post,Midweek motivation post,,low,,,09:00
18,21 Jun,Carousel,Client testimonials carousel,,medium,,,10:00
19,22 Jun,Reel,How it works explainer reel,,high,,,10:00
20,23 Jun,Static Post,Collaboration spotlight post,,high,,,09:00
21,24 Jun,Carousel,Upcoming product features carousel,,medium,,,10:00
22,25 Jun,Reel,Day in the life reel,,medium,,,11:00
23,26 Jun,Static Post,Team spotlight post,,medium,,,09:00
24,27 Jun,Carousel,Weekly highlights carousel,,medium,,,10:00
25,28 Jun,Reel,Trending audio reel,,medium,,,10:00
26,29 Jun,Static Post,Month wrap-up post,,medium,,,09:00
27,30 Jun,Carousel,Next month preview carousel,,medium,,,10:00
28,1 Jul,Reel,New month kickoff reel,,high,,,10:00
29,2 Jul,Static Post,New goals static post,,medium,,,09:00
30,3 Jul,Carousel,Monthly content preview carousel,,medium,,,10:00
